H2	CH4	C2H4	C2H6	C2H2
12	3	0	17	0
11	5	5	2	0
64	7	30	5	0
12	3	10	2	0
11	2	0	1	0
40	10	3	12	0
8	9	0	8	0
30	7	0	3	0
7	5	0	0	0
22	6	3	6	0
21	5	0	0	0
81	10	3	35	0
12	8	1	0	0
40	15	80	21	0
50	46	270	210	0
15	6	5	18	0
255	4610	4496	829	40
130	330	319	76	0
10	0	0	0	0
12	2	0	1	0
10	8	10	0	0
119	97	99	33	0
106	106	101	51	0
61	30	2	36	0
11	1	2	0	0
8	6	0	1	0
190	5	6	1	7
40	1	0	0	0
11	2	0	0	0
12	2	0	0	0
4	0	0	0	0
45	67	81	45	0
40	61	75	40	0
10	2	2	0	0
8	0	0	0	0
5	0	0	0	0
3	0	0	0	0
5	0	0	0	0
19	3	1	0	0
30	10	1	2	0
50	65	35	108	0
5	1	0	0	0
15	33	33	10	0
10	3	0	0	0
101	1291	3017	526	101
40	10	154	10	0
20	5	1	0	0
2	2	8	2	0
16	5	6	3	0
3	2	5	2	0
17	2	1	0	0
21	2	0	0	0
8	2	0	0	0
110	45	30	55	4
30	63	44	31	0
10	3	0	1	0
3	47	0	1	0
3	20	0	15	0
5	7	0	23	0
10	1	0	15	0
10	1	0	1	0
54	21	8	25	0
96	0	1	8	0
47	9	8	30	0
23	9	4	3	0
30	34	4	4	0
15	25	1	0	0
18	28	1	1	0
67	6	48	1	0
46	4	44	2	0
20	15	1	1	0
15	10	1	2	0
71	4	2	4	0
10	0	0	0	0
10	0	0	0	0
10	0	0	0	0
10	0	0	0	0
10	5	0	0	0
12	10	0	0	0
10	3	0	0	0
10	1	0	0	0
38	30	0	0	0
18	1	0	0	0
16	25	0	1	0
30	24	0	1	0
12	3	1	0	0
18	5	1	0	0
36	20	0	0	0
22	2	0	0	0
16	6	0	0	0
35	8	0	0	0
13	4	0	0	0
15	10	1	1	0
20	10	1	0	0
10	2	0	1	0
15	5	0	1	0
22	21	0	0	0
16	2	0	0	0
15	5	1	0	0
20	5	0	0	0
15	3	0	0	0
22	2	1	0	0
12	10	0	1	0
10	8	0	0	0
15	5	0	1	0
15	32	0	0	0
10	4	0	0	0
15	10	1	1	0
11	2	0	0	0
8	0	0	0	0
5	0	0	0	0
15	1	0	0	0
7	1	5	0	1
69	48	78	28	3
50	70	74	30	3
9	8	12	3	0
6	0	0	0	0
11	1	0	0	0
6	1	1	0	0
3	1	0	2	0
1	1	0	2	0
3	1	0	2	0
2	1	0	1	0
15	10	0	28	0
9	11	21	8	0
11	12	14	7	0
2	3	7	2	0
12	8	12	4	0
8	4	7	2	0
10	2	3	1	0
7	0	0	0	0
2	0	0	0	0
5	2	10	8	6
10	1	0	1	0
122	2	15	1	37
10	0	0	0	0
10	0	0	0	0
487	78	7	7	0
597	88	8	8	0
670	93	7	10	0
570	66	5	6	0
607	67	5	7	0
534	70	4	7	0
570	73	5	8	0
619	73	5	6	0
520	53	4	5	0
502	50	4	4	0
510	49	4	4	0
579	62	4	5	0
13	4	0	0	0
17	1	0	0	0
8	0	0	0	0
7	0	0	0	0
6	0	0	0	0
5	0	0	0	0
5	0	0	0	0
15	2	19	2	0
31	5	0	0	0
50	5	1	1	0
105	10	26	2	0
117	12	32	6	0
4	1	2	0	0
2	0	0	0	0
98	36	52	11	55
100	38	50	10	55
98	35	48	10	53
6	4	11	1	0
9	8	20	5	1
9	7	21	2	1
6	3	10	2	0
7	3	11	2	0
10	1	4	1	0
5	0	0	0	0
6	0	0	0	0
382	190	383	940	20
287	150	222	548	15
22	2	1	2	0
25	2	1	0	0
11	2	1	0	0
8	2	1	0	0
6	1	0	0	0
2	0	0	0	0
7	1	0	0	0
8	1	0	0	0
8	0	0	0	0
3	0	0	0	0
12	4	0	1	0
13	2	0	0	0
6	2	0	0	0
17	2	0	0	0
22	1	0	0	0
14	4	0	1	0
19	4	0	0	0
19	3	0	0	0
26	1	0	0	0
39	1	0	0	0
13	2	1	1	0
13	2	0	0	0
4	0	0	0	0
19	0	0	0	0
24	0	0	0	0
14	3	1	1	0
18	3	1	1	0
11	2	2	1	0
7	0	0	0	0
2	0	0	0	0
26	6	1	1	0
26	5	1	0	0
26	5	0	0	0
20	4	1	1	0
13	2	3	1	0
18	1	4	1	0
11	0	0	0	0
5	0	0	0	0
2	0	0	0	0
2	9	1	3	0
28	9	1	3	0
33	9	1	3	0
16	2	0	0	0
16	3	0	0	0
10	2	0	0	0
12	3	0	1	0
9	2	0	1	0
5	2	0	2	0
16	6	15	1	0
6	0	0	0	0
4	52	5	129	0
8	52	6	141	0
4	25	4	83	0
13	8	2	32	0
13	8	2	30	0
10	8	1	22	0
10	7	1	28	0
11	3	0	13	0
16	52	8	80	0
18	37	3	66	0
20	40	3	70	0
22	23	2	30	0
5	4	0	16	0
35	30	2	40	0
81	39	6	60	0
46	44	7	71	0
73	12	2	30	0
82	15	0	44	0
93	20	5	65	0
20	3	5	29	0
10	5	2	28	0
10	4	0	24	0
10	0	0	17	0
86	80	30	215	0
90	87	32	230	0
92	90	35	238	0
95	96	37	242	0
98	97	40	245	0
102	100	47	247	0
105	102	50	250	0
62	105	52	255	0
65	108	55	257	0
68	110	58	260	0
70	106	60	261	0
72	108	62	265	0
75	110	60	260	0
78	95	57	257	0
80	95	57	250	0
82	95	55	247	0
85	90	58	199	0
98	50	3	151	0
95	50	4	153	0
4	32	6	51	0
10	38	7	62	0
6	36	6	57	0
12	5	1	18	0
10	4	0	14	0
7	2	0	8	0
18	61	10	78	0
19	56	11	80	0
14	65	8	70	0
16	58	5	71	0
18	32	4	56	0
11	10	1	51	0
11	13	2	30	0
12	16	3	25	0
11	10	0	3	0
12	15	2	36	0
8	20	4	50	0
12	23	12	30	0
15	25	15	38	0
12	20	20	40	0
15	34	38	50	0
10	25	44	60	0
12	28	47	65	0
10	25	50	48	0
15	18	2	25	0
67	83	8	232	0
70	60	10	235	0
72	62	10	236	0
77	65	10	240	0
